Condition,US_ID,Gap_Code,Final_Category,Behavior,Explanation
CT,US08,G15,Operational,persistent,present in both; category matches the condition target
CT,US08,G16,Operational,persistent,present in both; category matches the condition target
CT,US08,G17,Operational,persistent,present in both; category matches the condition target
CT,US08,G18,Operational,persistent,present in both; category matches the condition target
CT,US08,G19,Operational,persistent,present in both; category matches the condition target
CT,US08,G20,Decisional,eliminated,"present in C0, absent in condition"
CT,US08,G21,Operational,persistent,present in both; category matches the condition target
CT,US08,G22,Operational,persistent,present in both; category matches the condition target
CT,US08,G23,Operational,persistent,present in both; category matches the condition target
CT,US08,G24,Operational,emergent,"absent in C0, present in condition"
CT,US08,G27,Operational,emergent,"absent in C0, present in condition"
CT,US08,G28,Operational,emergent,"absent in C0, present in condition"
CT,US19,G42,Operational,persistent,present in both; category matches the condition target
CT,US19,G43,Operational,persistent,present in both; category matches the condition target
CT,US19,G44,Operational,persistent,present in both; category matches the condition target
CT,US19,G45,Systemic,eliminated,"present in C0, absent in condition"
CT,US19,G46,Decisional,persistent,present in both; category matches the condition target
CT,US19,G47,Lexical,eliminated,"present in C0, absent in condition"
CT,US19,G48,Systemic,persistent,present in both; category matches the condition target
CT,US19,G49,Operational,persistent,present in both; category matches the condition target
CT,US19,G50,Systemic,eliminated,"present in C0, absent in condition"
CT,US19,G51,Systemic,persistent,present in both; category matches the condition target
CT,US19,G54,Operational,emergent,"absent in C0, present in condition"
CT,US19,G57,Operational,emergent,"absent in C0, present in condition"
CT,US19,G62,Operational,emergent,"absent in C0, present in condition"
CT,US19,G63,Operational,emergent,"absent in C0, present in condition"
CT,US22,G29,Lexical,persistent,present in both; category matches the condition target
CT,US22,G30,Lexical,persistent,present in both; category matches the condition target
CT,US22,G31,Operational,eliminated,"present in C0, absent in condition"
CT,US22,G32,Decisional,persistent,present in both; category matches the condition target
CT,US22,G33,Operational,persistent,present in both; category matches the condition target
CT,US22,G34,Systemic,eliminated,"present in C0, absent in condition"
CT,US22,G35,Operational,persistent,present in both; category matches the condition target
CT,US22,G36,Operational,eliminated,"present in C0, absent in condition"
CT,US22,G37,Decisional,persistent,present in both; category matches the condition target
CT,US22,G38,Decisional,emergent,"absent in C0, present in condition"
CT,US22,G41,Operational,emergent,"absent in C0, present in condition"
